point;propertyCode;thumbnail;numPhotos;floor;price;propertyType;operation;size;exterior;rooms;bathrooms;address;province;municipality;district;country;neighborhood;latitude;longitude;showAddress;url;distance;hasVideo;status;newDevelopment;hasLift;priceByArea;detailedType_typology;suggestedTexts_title;suggestedTexts_subtitle;hasPlan;has3DTour;has360;
viveros;28644573;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3f/4e/30/239538050.jpg;21;6;165000;flat;sale;75;true;3;1;calle Alboraya;València;València;La Saïdia;es;Trinitat;39.479341;-0.3699224;false;http://www.idealista.com/28644573;40;false;good;false;true;2200;flat;Piso en calle Alboraya;Trinitat, València;false;false;false;
viveros;33815721;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/93/16/98/153132964.jpg;27;6;1150000;flat;sale;320;false;4;4;barrio Exposició;València;València;El Pla del Real;es;Exposició;39.4796125;-0.3683702;false;http://www.idealista.com/33815721;109;false;;false;true;3594;flat;Piso;Exposició, València;false;false;false;
viveros;38610483;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/14/d6/7c/249955123.jpg;60;1;199000;flat;sale;105;true;3;2;barrio Trinitat;València;València;La Saïdia;es;Trinitat;39.4805983;-0.3690818;false;http://www.idealista.com/38610483;117;false;good;false;true;1895;flat;Piso;Trinitat, València;false;false;false;
viveros;38799218;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/96/cd/d8/248244793.jpg;20;3;1000000;flat;sale;220;true;3;3;plaza de la Legió Espanyola;València;València;El Pla del Real;es;Exposició;39.4797125;-0.3679702;false;http://www.idealista.com/38799218;144;false;good;false;true;4545;flat;Piso en plaza de la Legió Espanyola;Exposició, València;false;false;false;
viveros;34380261;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/13/96/f2/163705920.jpg;30;;620000;flat;sale;150;true;4;2;barrio Exposició;València;València;El Pla del Real;es;Exposició;39.4800257;-0.3679565;false;http://www.idealista.com/34380261;151;false;good;false;true;4133;flat;Piso;Exposició, València;false;false;false;
viveros;39001657;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9a/59/0b/251900226.jpg;14;2;190000;flat;sale;100;true;3;2;barrio Trinitat;València;València;La Saïdia;es;Trinitat;39.48095;-0.37036;false;http://www.idealista.com/39001657;157;false;good;false;true;1900;flat;Piso;Trinitat, València;false;false;false;
viveros;38718515;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/14/89/0b/246664315.jpg;31;5;280000;flat;sale;168;true;4;3;barrio Trinitat;València;València;La Saïdia;es;Trinitat;39.481065;-0.3697117;false;http://www.idealista.com/38718515;158;false;good;false;true;1667;flat;Piso;Trinitat, València;false;false;false;
viveros;38919193;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/04/b1/25/250443750.jpg;19;1;125000;flat;sale;77;true;2;2;barrio Trinitat;València;València;La Saïdia;es;Trinitat;39.4808918;-0.3706915;false;http://www.idealista.com/38919193;165;false;good;false;true;1623;flat;Piso;Trinitat, València;false;false;false;
viveros;37219886;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0e/e8/ca/244783762.jpg;21;1;170000;flat;sale;96;true;3;2;calle de la flora, 1;València;València;La Saïdia;es;Trinitat;39.4808417;-0.3709263;true;http://www.idealista.com/37219886;172;true;good;false;true;1771;flat;Piso en calle de la flora, 1;Trinitat, València;false;false;false;
viveros;38893270;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/d2/f0/249929970.jpg;19;1;125000;flat;sale;77;true;2;2;alboraya;València;València;La Saïdia;es;Trinitat;39.4811918;-0.3698915;false;http://www.idealista.com/38893270;173;false;good;false;true;1623;flat;Piso en alboraya;Trinitat, València;false;false;false;
viveros;38694453;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/63/cb/240988548.jpg;13;2;189990;flat;sale;95;true;3;2;barrio Trinitat;València;València;La Saïdia;es;Trinitat;39.48115;-0.37026;false;http://www.idealista.com/38694453;175;false;good;false;true;2000;flat;Piso;Trinitat, València;false;false;false;
viveros;37311729;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/30/30/f8/214456621.jpg;13;3;1200000;flat;sale;280;true;4;2;plaza de la Legió Espanyola;València;València;El Pla del Real;es;Exposició;39.4788181;-0.3675802;false;http://www.idealista.com/37311729;199;false;good;false;true;4286;flat;Piso en plaza de la Legió Espanyola;Exposició, València;false;false;false;
viveros;38760200;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/07/a6/5d/247542362.jpg;32;3;159900;flat;sale;80;true;2;1;calle de Santa Rita;València;València;La Saïdia;es;Morvedre;39.4800225;-0.3719416;false;http://www.idealista.com/38760200;201;false;good;false;true;1999;flat;Piso en calle de Santa Rita;Morvedre, València;false;false;false;
viveros;26065720;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f1/8f/c5/31325815.jpg;3;6;165000;flat;sale;65;true;1;1;calle Alboraya, 13;València;València;La Saïdia;es;Trinitat;39.4811589;-0.371025;true;http://www.idealista.com/26065720;206;false;good;false;true;2538;flat;Piso en calle Alboraya, 13;Trinitat, València;false;false;false;
viveros;38538312;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/31/38/b9/238380165.jpg;16;5;280000;flat;sale;168;true;4;3;calle d'alboraia, 16;València;València;La Saïdia;es;Trinitat;39.481265;-0.3708117;true;http://www.idealista.com/38538312;206;false;good;false;true;1667;flat;Piso en calle d'alboraia, 16;Trinitat, València;false;false;false;
viveros;38863678;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/8c/39/249382274.jpg;43;6;450000;flat;sale;227;true;5;3;ALBORAYA, 16;València;València;La Saïdia;es;Trinitat;39.4813904;-0.3707508;true;http://www.idealista.com/38863678;216;false;good;false;true;1982;flat;Piso en ALBORAYA, 16;Trinitat, València;false;false;false;
viveros;38403227;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b8/ed/d0/238720540.jpg;30;1;499000;flat;sale;219;false;5;3;calle de juan martorell;València;València;El Pla del Real;es;Jaume Roig;39.4801461;-0.3672116;false;http://www.idealista.com/38403227;216;false;good;false;true;2279;flat;Piso en calle de juan martorell;Jaume Roig, València;false;false;false;
viveros;33526600;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/bd/51/233870965.jpg;25;;2900000;chalet;sale;380;false;6;4;barrio Jaume Roig;València;València;El Pla del Real;es;Jaume Roig;39.4791999;-0.3671594;false;http://www.idealista.com/33526600;219;false;;false;;7632;chalet;Chalet;Jaume Roig, València;false;false;false;
viveros;38785356;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/77/42/8d/248580603.jpg;55;14;1350000;duplex;sale;407;true;5;5;barrio Jaume Roig;València;València;El Pla del Real;es;Jaume Roig;39.4800148;-0.3670787;false;http://www.idealista.com/38785356;224;false;good;false;true;3317;flat;Dúplex;Jaume Roig, València;false;false;false;
viveros;38798348;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6b/df/68/248881880.jpg;26;1;499000;flat;sale;219;true;5;3;calle de Juan Martorell;València;València;El Pla del Real;es;Jaume Roig;39.4790461;-0.3670116;false;http://www.idealista.com/38798348;235;false;renew;false;true;2279;flat;Piso en calle de Juan Martorell;Jaume Roig, València;false;false;false;
viveros;369470;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/3b/ad/10821111.jpg;8;6;120000;flat;sale;90;true;3;1;calle Alboraya, 24;València;València;La Saïdia;es;Trinitat;39.4816414;-0.3707541;true;http://www.idealista.com/369470;241;false;good;false;true;1333;flat;Piso en calle Alboraya, 24;Trinitat, València;false;false;false;
viveros;36924922;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/17/45/16/206514084.jpg;12;3;250000;flat;sale;125;true;2;2;barrio La Seu;València;València;Ciutat Vella;es;La Seu;39.4775798;-0.3708721;false;http://www.idealista.com/36924922;252;false;good;false;true;2000;flat;Piso;La Seu, València;false;false;false;
viveros;38984995;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/0e/c0/251587328.jpg;21;9;750000;flat;sale;150;true;4;2;barrio Exposició;València;València;El Pla del Real;es;Exposició;39.479036;-0.3667453;false;http://www.idealista.com/38984995;258;false;good;false;true;5000;flat;Piso;Exposició, València;false;false;false;
viveros;37546584;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bf/76/b0/220050011.jpg;27;6;350000;flat;sale;188;true;5;3;BLASCO IBAÑEZ;València;València;El Pla del Real;es;Exposició;39.4800457;-0.3666379;false;http://www.idealista.com/37546584;262;false;renew;false;true;1862;flat;Piso en BLASCO IBAÑEZ;Exposició, València;false;false;false;
viveros;36212212;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bd/c0/91/193739211.jpg;7;4;750000;flat;sale;204;true;4;2;avenida de Blasco Ibáñez;València;València;El Pla del Real;es;Exposició;39.4802891;-0.366709;false;http://www.idealista.com/36212212;262;false;good;false;true;3676;flat;Piso en avenida de Blasco Ibáñez;Exposició, València;false;false;false;
viveros;31065550;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/10/ae/a0/110969396.jpg;6;1;900000;flat;sale;310;true;4;4;barrio La Xerea;València;València;Ciutat Vella;es;La Xerea;39.4773851;-0.3706389;false;http://www.idealista.com/31065550;264;false;good;false;true;2903;flat;Piso;La Xerea, València;false;false;false;
viveros;36668185;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f6/06/31/201874210.jpg;22;6;390000;flat;sale;178;true;4;3;plaza de la Legió Espanyola;València;València;El Pla del Real;es;Exposició;39.4779757;-0.3673334;false;http://www.idealista.com/36668185;271;false;good;false;true;2191;flat;Piso en plaza de la Legió Espanyola;Exposició, València;true;false;false;
