"idealista.numPhotos";"idealista.floor";"idealista.price";"idealista.size";"idealista.rooms";"idealista.bathrooms";"idealista.distance";"idealista.priceByArea";"idealista.Ozono";"idealista.NO";"idealista.NO2";"idealista.PM10";"idealista.NOx"
"idealista.numPhotos";1;0.0228663859753944;0.200127598819606;0.217131543943512;0.158056190383887;0.243583953981404;0.0265132182549054;0.154771666204187;0.0299027282137369;-0.0684711781941785;-0.0443662045293524;-0.157177165607272;-0.0596412976464541
"idealista.floor";0.0228663859753944;1;-0.0629873814735868;-0.0678433766320239;-0.111935104262641;-0.078521295087387;0.0339933426616476;-0.0324798341522402;-0.064030392317771;0.066285013511549;0.0621450640510698;0.054317755166048;0.06500682553748
"idealista.price";0.200127598819606;-0.0629873814735868;1;0.819939447805392;0.384216843210799;0.664279454640393;-0.153181368422473;0.772428958461427;0.309589155361494;-0.331334545104012;-0.338441641810372;-0.306179204529924;-0.338175926482031
"idealista.size";0.217131543943512;-0.0678433766320239;0.819939447805392;1;0.59869868308806;0.755402544974632;-0.119885827351203;0.385444883640686;0.183123846230245;-0.20132672144859;-0.204986819708456;-0.207723695499212;-0.205228014871553
"idealista.rooms";0.158056190383887;-0.111935104262641;0.384216843210799;0.59869868308806;1;0.483503546307477;-0.102700130563136;0.0236068448493952;0.0353876843697189;-0.0254925299774846;-0.0323438471213082;-0.0185278264248089;-0.0282142820910945
"idealista.bathrooms";0.243583953981404;-0.078521295087387;0.664279454640393;0.755402544974632;0.483503546307477;1;-0.0651835603408353;0.426240897826799;0.110558107113447;-0.148428948214802;-0.133343045457453;-0.226600371910357;-0.144176611464903
"idealista.distance";0.0265132182549054;0.0339933426616476;-0.153181368422473;-0.119885827351203;-0.102700130563136;-0.0651835603408353;1;-0.176255292679035;-0.0198076446695443;-0.107317510822303;-0.0148488432041438;-0.0660165670498725;-0.0711809389607002
"idealista.priceByArea";0.154771666204187;-0.0324798341522402;0.772428958461427;0.385444883640686;0.0236068448493952;0.426240897826799;-0.176255292679035;1;0.370185747034997;-0.396772844486748;-0.397596793482065;-0.371852757635007;-0.401644125140688
"idealista.Ozono";0.0299027282137369;-0.064030392317771;0.309589155361494;0.183123846230245;0.0353876843697189;0.110558107113447;-0.0198076446695443;0.370185747034997;1;-0.958283852176848;-0.985918868081585;-0.244777442135839;-0.977826436114908
"idealista.NO";-0.0684711781941785;0.066285013511549;-0.331334545104012;-0.20132672144859;-0.0254925299774846;-0.148428948214802;-0.107317510822303;-0.396772844486748;-0.958283852176848;1;0.962091108164532;0.462442936294359;0.993252256500626
"idealista.NO2";-0.0443662045293524;0.0621450640510698;-0.338441641810372;-0.204986819708456;-0.0323438471213082;-0.133343045457453;-0.0148488432041438;-0.397596793482065;-0.985918868081585;0.962091108164532;1;0.331897616366495;0.987169739054438
"idealista.PM10";-0.157177165607272;0.054317755166048;-0.306179204529924;-0.207723695499212;-0.0185278264248089;-0.226600371910357;-0.0660165670498725;-0.371852757635007;-0.244777442135839;0.462442936294359;0.331897616366495;1;0.415718422242103
"idealista.NOx";-0.0596412976464541;0.06500682553748;-0.338175926482031;-0.205228014871553;-0.0282142820910945;-0.144176611464903;-0.0711809389607002;-0.401644125140688;-0.977826436114908;0.993252256500626;0.987169739054438;0.415718422242103;1
